symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
SPY,slope_10y2y_chg20,fwd21_ret,1113,0.175,0.001,0.29,0.04,True,True
SPY,slope_10y2y_chg20,fwd21_tail,1113,-0.111,-0.201,-0.014,-0.052,True,True
SPY,slope_10y2y_chg20,fwd21_rv,1113,-0.154,-0.3,0.018,-0.051,False,False
SPY,y10_chg20,fwd21_ret,1113,-0.079,-0.277,0.104,-0.028,False,False
SPY,y10_chg20,fwd21_tail,1113,0.057,-0.133,0.244,0.016,False,False
SPY,y10_chg20,fwd21_rv,1113,0.071,-0.153,0.323,-0.209,False,False
SPY,cot_es_net_z52,fwd21_ret,1113,-0.118,-0.291,0.077,0.077,False,False
SPY,cot_es_net_z52,fwd21_tail,1113,0.008,-0.155,0.165,-0.018,False,False
SPY,cot_es_net_z52,fwd21_rv,1113,0.03,-0.182,0.265,-0.088,False,False
SPY,sector_pe_median,fwd21_ret,1113,-0.076,-0.287,0.118,-0.034,False,False
SPY,sector_pe_median,fwd21_tail,1113,-0.103,-0.238,0.048,-0.009,False,False
SPY,sector_pe_median,fwd21_rv,1113,-0.289,-0.458,-0.021,0.096,True,False
SPY,pe_tech_over_defensive,fwd21_ret,1113,-0.034,-0.213,0.153,0.045,False,False
SPY,pe_tech_over_defensive,fwd21_tail,1113,0.146,-0.003,0.285,0.028,False,False
SPY,pe_tech_over_defensive,fwd21_rv,1113,0.285,0.062,0.488,0.007,True,False
SPY,sector_pe_median_chg13w,fwd21_ret,1113,-0.09,-0.282,0.101,-0.052,False,False
SPY,sector_pe_median_chg13w,fwd21_tail,1113,0.039,-0.087,0.191,0.075,False,False
SPY,sector_pe_median_chg13w,fwd21_rv,1113,-0.003,-0.183,0.235,0.142,False,False
SPY,earn_beat_rate_90d,fwd21_ret,1113,-0.034,-0.203,0.172,0.002,False,False
SPY,earn_beat_rate_90d,fwd21_tail,1113,-0.095,-0.237,0.038,-0.024,False,False
